# 30/12/2022 11:36:54 AM: Prices - EPEX Spot Market Auction - germany_luxembourg - Currency: EUR
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak
31/12/2022,-0.03,-0.07,-0.03,,-0.04,-0.03,-0.02,-0.01,-0.05,0.63,-0.03,-0.30,-1.66,-3.78,-3.44,-2.07,-1.98,-0.90,0.00,-0.01,-1.01,-1.39,-1.04,-1.07,-0.68,-3.78,0.63,-0.04,-0.03,-0.34,-2.82,-0.48,-1.05,-0.79,-1.21,-0.04,-0.04,-1.58,-0.37,0.14,-2.30,-1.24,-0.87,-2.21
30/12/2022,11.17,5.09,3.09,,0.65,0.57,4.88,10.93,24.13,27.69,29.08,26.09,24.72,17.74,19.87,25.64,27.97,21.01,30.78,22.40,13.79,2.63,0.69,0.40,0.00,0.00,30.78,5.00,10.13,26.90,22.81,22.00,0.93,14.63,23.90,4.24,7.56,24.85,5.35,22.96,22.11,26.35,6.65,23.67
29/12/2022,-1.01,-1.05,-1.10,,-2.18,-2.05,-0.98,-0.05,0.09,8.98,5.97,5.28,4.01,1.99,3.40,19.95,24.54,27.20,34.54,51.41,47.94,26.62,25.01,26.31,21.07,-2.18,51.41,-1.34,-0.75,6.06,12.47,40.27,24.75,13.58,19.60,-1.40,-1.04,9.27,7.56,3.75,3.67,26.56,33.06,9.86
28/12/2022,40.28,33.13,10.31,,0.05,0.03,0.10,16.97,31.41,43.24,63.63,68.38,59.95,52.08,47.09,71.10,71.08,85.77,89.71,87.43,71.77,55.10,46.42,35.45,21.05,0.03,89.71,20.94,12.13,58.80,60.34,83.67,39.51,45.90,67.60,13.98,16.54,59.57,24.19,38.81,56.88,79.42,52.87,61.61
27/12/2022,23.36,9.98,5.69,,5.00,11.46,19.59,30.42,80.96,95.90,100.08,95.93,108.42,110.38,124.36,139.08,143.32,147.56,158.69,164.69,156.93,147.56,128.80,107.84,85.62,5.00,164.69,11.01,35.61,100.08,129.29,156.97,117.46,91.73,128.78,12.51,23.31,114.68,54.69,76.84,109.77,147.16,131.91,120.25
26/12/2022,50.30,36.98,27.02,,21.30,17.90,16.33,18.11,23.29,38.68,53.57,59.30,59.00,54.90,29.99,32.64,33.99,47.63,54.98,52.20,59.17,58.43,59.04,48.55,19.48,16.33,59.30,33.90,18.91,52.64,37.88,53.50,46.38,40.53,48.00,28.31,26.40,45.26,33.06,33.41,50.80,42.31,49.48,44.97
25/12/2022,120.28,112.11,106.65,,90.84,85.70,85.65,85.64,92.70,110.10,113.28,119.60,121.36,101.01,95.60,92.89,110.08,112.91,130.42,120.38,110.09,118.21,106.52,102.25,100.00,85.64,130.42,107.47,87.42,116.09,99.90,118.45,106.75,106.01,111.48,100.21,97.45,107.99,100.55,100.43,109.39,111.58,109.58,106.76
24/12/2022,81.20,50.40,50.00,,32.52,36.00,48.48,57.53,98.20,122.20,145.87,138.67,140.04,137.78,139.96,150.99,159.89,163.05,166.34,149.74,138.79,129.67,120.00,116.70,110.78,32.52,166.34,53.53,60.05,136.70,147.16,154.48,119.29,111.87,146.11,49.77,56.79,141.93,77.62,105.95,139.11,160.07,127.61,144.56
23/12/2022,148.72,148.72,146.39,,137.87,141.00,148.55,169.45,189.19,217.00,222.20,225.09,221.93,223.91,228.91,225.92,220.05,222.06,214.02,209.93,198.44,181.34,152.00,148.74,119.90,119.90,228.91,145.43,162.05,221.56,224.70,211.11,150.50,185.89,219.12,145.21,153.74,223.13,152.66,199.46,224.96,220.51,168.39,224.30
22/12/2022,158.90,145.60,140.19,,132.41,128.22,155.92,183.86,224.72,224.40,223.72,225.40,224.40,224.04,216.82,213.29,210.39,213.19,214.19,224.40,221.82,201.07,183.71,170.96,161.67,128.22,225.40,144.28,173.18,224.48,216.14,218.40,179.35,192.64,219.67,143.54,158.73,220.31,165.60,214.18,222.67,212.77,193.94,219.06
